Frame	TrackID	Confidence
136	10	N/A
136	15	N/A
136	16	N/A
137	3	N/A
137	8	N/A
137	10	N/A
137	15	N/A
137	16	N/A
138	3	N/A
138	8	N/A
138	10	N/A
138	15	N/A
138	16	N/A
138	19	0.83
139	3	N/A
139	8	N/A
139	10	N/A
139	15	N/A
139	16	N/A
139	19	0.57
140	3	N/A
140	8	N/A
140	10	N/A
140	15	N/A
140	16	N/A
140	19	N/A
141	3	N/A
141	8	N/A
141	10	N/A
141	15	N/A
141	16	N/A
141	19	N/A
142	3	N/A
142	8	N/A
142	10	N/A
142	15	N/A
142	16	N/A
142	19	N/A
143	3	N/A
143	8	N/A
143	10	N/A
143	15	N/A
143	16	N/A
143	19	N/A
144	3	N/A
144	8	N/A
144	10	N/A
144	15	N/A
144	16	N/A
144	19	N/A
145	3	N/A
145	8	N/A
145	10	N/A
145	15	N/A
145	16	N/A
145	19	N/A
146	3	N/A
146	8	N/A
146	10	N/A
146	15	N/A
146	16	N/A
146	19	N/A
147	3	N/A
147	8	N/A
147	10	N/A
147	15	0.85
147	16	N/A
147	19	N/A
148	3	N/A
148	8	N/A
148	10	N/A
148	15	0.85
148	16	N/A
148	19	0.85
149	3	N/A
149	8	N/A
149	10	N/A
149	15	N/A
149	16	N/A
149	19	N/A
150	3	N/A
150	8	N/A
150	10	N/A
150	15	N/A
150	16	N/A
150	19	N/A
151	3	N/A
151	8	N/A
151	10	N/A
151	15	0.69
151	16	N/A
151	19	0.69
152	3	N/A
152	8	N/A
152	10	N/A
152	15	N/A
152	16	N/A
152	19	0.79
152	21	0.79
153	3	N/A
153	8	N/A
153	10	N/A
153	15	N/A
153	16	N/A
153	19	0.83
153	21	0.83
154	3	N/A
154	8	N/A
154	10	N/A
154	15	N/A
154	16	N/A
154	19	0.78
154	21	0.78
155	8	N/A
155	10	N/A
155	15	N/A
155	16	N/A
155	19	0.63
155	21	0.63
156	8	N/A
156	10	N/A
156	15	N/A
156	16	N/A
156	19	N/A
156	21	N/A
157	8	N/A
157	10	N/A
157	15	N/A
157	16	N/A
157	19	N/A
157	21	N/A
158	8	N/A
158	10	N/A
158	15	N/A
158	16	N/A
158	19	0.65
158	21	0.65
159	10	N/A
159	15	N/A
159	16	N/A
159	19	N/A
159	21	N/A
160	10	N/A
160	15	N/A
160	16	N/A
160	19	N/A
160	21	N/A
161	10	N/A
161	15	N/A
161	16	N/A
161	19	N/A
161	21	N/A
162	15	N/A
162	16	N/A
162	19	N/A
162	21	N/A
163	15	N/A
163	16	N/A
163	19	N/A
163	21	N/A
164	15	N/A
164	16	N/A
164	19	N/A
164	21	N/A
165	15	N/A
165	16	N/A
165	19	N/A
165	21	N/A
166	15	N/A
166	16	N/A
166	19	N/A
166	21	N/A
167	15	N/A
167	16	N/A
167	19	N/A
167	21	N/A
168	15	N/A
168	16	N/A
168	19	N/A
168	21	N/A
169	15	N/A
169	16	N/A
169	19	N/A
169	21	N/A
169	22	0.47
170	15	N/A
170	16	N/A
170	19	N/A
170	21	N/A
170	22	0.52
171	15	N/A
171	16	N/A
171	19	N/A
171	21	N/A
171	22	N/A
172	15	N/A
172	16	N/A
172	19	N/A
172	21	N/A
172	22	N/A
173	15	N/A
173	16	N/A
173	19	N/A
173	21	N/A
173	22	N/A
174	15	N/A
174	16	N/A
174	19	N/A
174	21	N/A
174	22	N/A
175	15	N/A
175	16	N/A
175	19	N/A
175	21	N/A
175	22	N/A
176	15	N/A
176	16	N/A
176	19	N/A
176	21	N/A
176	22	N/A
177	15	N/A
177	16	N/A
177	19	N/A
177	21	N/A
177	22	N/A
178	15	N/A
178	16	N/A
178	19	N/A
178	21	N/A
178	22	N/A
179	15	N/A
179	16	N/A
179	19	N/A
179	21	N/A
179	22	N/A
180	15	N/A
180	16	N/A
180	19	N/A
180	21	N/A
180	22	N/A
181	15	N/A
181	16	N/A
181	19	N/A
181	21	N/A
181	22	N/A
182	15	N/A
182	16	N/A
182	19	N/A
182	21	N/A
182	22	N/A
183	15	N/A
183	16	N/A
183	19	N/A
183	21	N/A
183	22	N/A
184	15	N/A
184	19	N/A
184	21	N/A
184	22	N/A
185	15	N/A
185	19	N/A
185	21	N/A
185	22	N/A
186	15	N/A
186	19	N/A
186	21	N/A
186	22	N/A
187	15	N/A
187	19	N/A
187	21	N/A
187	22	N/A
188	15	N/A
188	19	N/A
188	21	N/A
188	22	N/A
189	15	N/A
189	19	N/A
189	21	N/A
189	22	N/A
190	15	N/A
190	19	N/A
190	21	N/A
190	22	N/A
191	15	N/A
191	19	N/A
191	21	0.76
191	22	N/A
192	15	N/A
192	19	N/A
192	21	N/A
192	22	N/A
193	15	N/A
193	19	N/A
193	21	N/A
193	22	N/A
194	15	N/A
194	19	N/A
194	21	N/A
194	22	N/A
195	15	N/A
195	19	N/A
195	21	N/A
195	22	N/A
196	15	N/A
196	19	N/A
196	21	N/A
196	22	N/A
197	15	N/A
197	19	N/A
197	21	N/A
197	22	N/A
198	19	N/A
198	21	N/A
198	22	N/A
199	21	N/A
199	22	N/A
200	21	N/A
200	22	N/A
201	21	N/A
201	22	N/A
202	21	N/A
202	22	N/A
202	35	0.79
203	21	N/A
203	22	N/A
203	35	0.76
204	21	N/A
204	22	N/A
204	35	0.78
205	21	N/A
205	22	N/A
205	35	0.67
206	21	N/A
206	22	N/A
206	35	N/A
207	21	N/A
207	22	N/A
207	35	N/A
208	21	N/A
208	22	N/A
208	35	N/A
209	21	N/A
209	22	N/A
209	35	0.71
210	21	N/A
210	22	N/A
210	35	N/A
210	37	0.64
211	21	N/A
211	22	N/A
211	35	N/A
211	37	N/A
212	21	N/A
212	22	N/A
212	35	N/A
212	37	N/A
213	21	N/A
213	22	N/A
213	35	N/A
213	37	0.57
214	21	N/A
214	22	N/A
214	35	N/A
214	37	0.84
215	21	N/A
215	22	N/A
215	35	N/A
215	37	0.83
216	21	N/A
216	22	N/A
216	35	N/A
216	37	0.82
217	21	N/A
217	22	N/A
217	35	N/A
217	37	0.53
218	21	N/A
218	22	N/A
218	35	N/A
218	37	N/A
219	21	N/A
219	22	N/A
219	35	N/A
219	37	N/A
220	21	N/A
220	22	N/A
220	35	N/A
220	37	N/A
221	21	N/A
221	35	N/A
221	37	N/A
222	21	N/A
222	35	N/A
222	37	N/A
223	21	N/A
223	35	N/A
223	37	N/A
224	21	N/A
224	35	N/A
224	37	N/A
225	21	N/A
225	35	N/A
225	37	N/A
226	21	N/A
226	35	N/A
226	37	N/A
226	39	0.82
227	21	N/A
227	35	N/A
227	37	N/A
227	39	0.32
228	21	N/A
228	35	N/A
228	37	N/A
228	39	0.74
229	21	N/A
229	35	N/A
229	37	N/A
229	39	0.89
230	21	N/A
230	35	N/A
230	37	N/A
230	39	0.37
231	21	N/A
231	35	N/A
231	37	N/A
231	39	N/A
232	21	N/A
232	35	N/A
232	37	N/A
232	39	0.30
233	21	N/A
233	35	N/A
233	37	N/A
233	39	0.84
234	21	N/A
234	35	N/A
234	37	N/A
234	39	0.76
235	21	N/A
235	35	N/A
235	37	N/A
235	39	N/A
236	21	N/A
236	35	N/A
236	37	N/A
236	39	N/A
237	21	N/A
237	35	N/A
237	37	N/A
237	39	0.46
238	21	N/A
238	35	N/A
238	37	N/A
238	39	0.35
239	21	N/A
239	35	N/A
239	37	N/A
239	39	0.44
240	21	0.65
240	35	N/A
240	37	N/A
240	39	0.65
241	21	0.83
241	35	N/A
241	37	N/A
241	39	0.83
242	21	N/A
242	35	N/A
242	37	N/A
242	39	N/A
243	21	N/A
243	35	N/A
243	37	N/A
243	39	N/A
244	21	N/A
244	35	N/A
244	37	N/A
244	39	N/A
245	21	N/A
245	35	N/A
245	37	N/A
245	39	N/A
246	21	N/A
246	35	N/A
246	37	N/A
246	39	N/A
247	21	N/A
247	35	N/A
247	37	N/A
247	39	N/A
248	21	N/A
248	35	N/A
248	37	N/A
248	39	N/A
249	21	N/A
249	35	N/A
249	37	N/A
249	39	N/A
250	21	N/A
250	35	N/A
250	37	N/A
250	39	N/A
250	47	0.47
